08:01:29 [INFO]   Nodos extraídos    : 1
08:01:29 [INFO]   Relaciones extraídas: 0
08:01:29 [INFO]     [Articulo] Art_284_RG_15_2024
08:01:31 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:01:32 [INFO]   Guardado en Neo4j correctamente.
08:01:32 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_285.txt
08:01:33 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:01:54 [INFO]   Nodos extraídos    : 1
08:01:54 [INFO]   Relaciones extraídas: 0
08:01:54 [INFO]     [Articulo] Art_285_RG_15_2024
08:01:56 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:01:57 [INFO]   Guardado en Neo4j correctamente.
08:01:57 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_286.txt
08:01:58 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:02:22 [INFO]   Nodos extraídos    : 1
08:02:22 [INFO]   Relaciones extraídas: 3
08:02:22 [INFO]     [Articulo] Art_286_RG_15_2024
08:02:22 [INFO]     Art_286_RG_15_2024 -[REGULA]-> AsociacionCivil
08:02:22 [INFO]     Art_286_RG_15_2024 -[REGULA]-> Fundacion
08:02:22 [INFO]     Art_286_RG_15_2024 -[MENCIONA]-> RegistroPublicoDeComercio
08:02:22 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:02:24 [INFO]   Guardado en Neo4j correctamente.
08:02:25 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_287.txt
08:02:25 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:02:43 [INFO]   Nodos extraídos    : 1
08:02:43 [INFO]   Relaciones extraídas: 0
08:02:43 [INFO]     [Articulo] Art_287_RG_15_2024
08:02:44 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:02:46 [INFO]   Guardado en Neo4j correctamente.
08:02:46 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_288.txt
08:02:46 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:03:07 [INFO]   Nodos extraídos    : 1
08:03:07 [INFO]   Relaciones extraídas: 1
08:03:07 [INFO]     [Articulo] Art_288_RG_15_2024
08:03:07 [INFO]     Art_288_RG_15_2024 -[REGULA]-> AsociacionCivil
08:03:08 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:03:10 [INFO]   Guardado en Neo4j correctamente.
08:03:10 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_289.txt
08:03:11 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:03:32 [INFO]   Nodos extraídos    : 1
08:03:32 [INFO]   Relaciones extraídas: 1
08:03:32 [INFO]     [Articulo] Art_289_RG_15_2024
08:03:32 [INFO]     Art_289_RG_15_2024 -[APLICA_SUPLETORIAMENTE]-> InspeccionGeneralDeJusticia
08:03:33 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:03:34 [INFO]   Guardado en Neo4j correctamente.
08:03:35 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_29.txt
08:03:35 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:03:52 [WARNING]   Relación descartada (campos nulos): inicio='Art_29_RG_15_2024' fin=None tipo=None
08:03:52 [INFO]   Nodos extraídos    : 1
08:03:52 [INFO]   Relaciones extraídas: 0
08:03:52 [INFO]     [Articulo] Art_29_RG_15_2024
08:03:53 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:03:57 [INFO]   Guardado en Neo4j correctamente.
08:03:58 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_290.txt
08:03:58 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:04:21 [INFO]   Nodos extraídos    : 1
08:04:21 [INFO]   Relaciones extraídas: 1
08:04:21 [INFO]     [Articulo] Art_290_RG_15_2024
08:04:21 [INFO]     Art_290_RG_15_2024 -[MENCIONA]-> Fundacion
08:04:22 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:04:24 [INFO]   Guardado en Neo4j correctamente.
