16:23:15 [INFO] SALTADO (ya existe): Art_198_Ley_19550
16:23:15 [INFO] SALTADO (ya existe): Art_191_Ley_19550
16:23:15 [INFO] SALTADO (ya existe): Art_309_Ley_19550
16:23:15 [INFO] SALTADO (ya existe): Art_261_Ley_19550
16:23:15 [INFO] SALTADO (ya existe): Art_228_Ley_19550
16:23:16 [INFO] SALTADO (ya existe): Art_171_Ley_19550
16:23:16 [INFO] SALTADO (ya existe): Art_257_Ley_19550
16:23:16 [INFO] SALTADO (ya existe): Art_72_Ley_19550
16:23:16 [INFO] Procesando: ./input/normas/sociedades/Ley/articulos_lsc/Articulo_80.txt
16:23:21 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
16:23:42 [WARNING]   1 relación(es) descartadas por campos nulos.
16:23:42 [INFO]   Nodos extraídos    : 1
16:23:42 [INFO]   Relaciones extraídas: 0
16:23:42 [INFO]     [Articulo] Art_80_Ley_19550
16:23:43 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
16:23:45 [INFO]   Guardado en Neo4j correctamente.
16:23:45 [INFO] Procesando: ./input/normas/sociedades/Ley/articulos_lsc/Articulo_94_bis.txt
16:23:46 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
16:24:06 [WARNING]   1 relación(es) descartadas por campos nulos.
16:24:06 [INFO]   Nodos extraídos    : 1
16:24:06 [INFO]   Relaciones extraídas: 0
16:24:06 [INFO]     [Articulo] Art_94_bis_Ley_19550
16:24:07 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
16:24:09 [INFO]   Guardado en Neo4j correctamente.
16:24:09 [INFO] SALTADO (ya existe): Art_222_Ley_19550
16:24:09 [INFO] SALTADO (ya existe): Art_84_Ley_19550
16:24:09 [INFO] SALTADO (ya existe): Art_89_Ley_19550
16:24:10 [INFO] SALTADO (ya existe): Art_258_Ley_19550
16:24:10 [INFO] Procesando: ./input/normas/sociedades/Ley/articulos_lsc/Articulo_327.txt
16:24:10 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
16:24:32 [WARNING]   1 relación(es) descartadas por campos nulos.
16:24:32 [INFO]   Nodos extraídos    : 1
16:24:32 [INFO]   Relaciones extraídas: 0
16:24:32 [INFO]     [Articulo] Art_327_Ley_19550
16:24:33 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
16:24:34 [INFO]   Guardado en Neo4j correctamente.
16:24:35 [INFO] Procesando: ./input/normas/sociedades/Ley/articulos_lsc/Articulo_350.txt
16:24:35 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
16:24:58 [WARNING]   1 relación(es) descartadas por campos nulos.
16:24:58 [INFO]   Nodos extraídos    : 1
16:24:58 [INFO]   Relaciones extraídas: 0
16:24:58 [INFO]     [Articulo] Art_350_Ley_19550
16:24:59 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
16:25:01 [INFO]   Guardado en Neo4j correctamente.
16:25:01 [INFO] SALTADO (ya existe): Art_237_Ley_19550
16:25:01 [INFO] SALTADO (ya existe): Art_292_Ley_19550
16:25:02 [INFO] SALTADO (ya existe): Art_116_Ley_19550
16:25:02 [INFO] SALTADO (ya existe): Art_201_Ley_19550
16:25:02 [INFO] Procesando: ./input/normas/sociedades/Ley/articulos_lsc/Articulo_147.txt
